,Unnamed: 0,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
0,0,1,8.200000593205915e-07,9.800016414374113e-07,1.1400006769690663e-06,8.999999772640877e-06,1.2600004993146285e-06,1.7200000002048908e-06,1.139998857979663e-06,4.099999932805077e-06
1,1,2,6.000005669193342e-07,7.800001185387373e-07,1.1199997970834375e-06,1.1139999696752057e-05,1.6400004824390638e-06,2.6799993065651505e-06,3.279999873484485e-06,4.5399996452033515e-06
2,2,3,5.99999839323573e-07,8.199996955227106e-07,1.080000220099464e-06,1.3920000128564425e-05,2.319999475730583e-06,3.7400001019705088e-06,4.680000347434543e-06,5.180000152904541e-06
3,3,4,5.799996870337054e-07,8.399991202168167e-07,1.1399999493733048e-06,1.7259999731322752e-05,2.059999678749591e-06,4.920000355923548e-06,5.000000601285137e-06,5.819999205414206e-06
4,4,5,6.599995685974137e-07,7.800008461344987e-07,1.1599993740674109e-06,2.2700000408804043e-05,2.3399999918183314e-06,6.779999603168108e-06,8.060000254772605e-06,7.420000110869296e-06
5,5,6,6.599999323952943e-07,8.199996955227106e-07,1.2400014384184033e-06,2.2479999825009148e-05,2.3799995688023047e-06,8.139999772538431e-06,7.419999747071416e-06,7.959999857121148e-06
6,6,7,5.799996870337054e-07,7.999995432328433e-07,1.2400014384184033e-06,2.466000005370006e-05,2.580000364105217e-06,9.199999476550147e-06,9.420000060345048e-06,8.879999586497434e-06
7,7,8,6.999998731771484e-07,7.799993909429759e-07,1.2800002878066152e-06,2.9459999859682286e-05,2.9200000426499177e-06,1.0900000052060933e-05,1.0199999451288022e-05,1.0259999908157624e-05
8,8,9,7.600003300467507e-07,8.199996955227106e-07,1.3400007446762174e-06,3.134000035061035e-05,2.8800001018680637e-06,1.4940000255592166e-05,1.1120000635855831e-05,1.0499999552848747e-05
9,9,10,5.800000508315862e-07,8.200004231184721e-07,1.3800003216601907e-06,3.418000087549444e-05,3.2399995689047506e-06,1.689999990048818e-05,1.3679999392479657e-05,1.2659999629249795e-05
10,10,11,6.999995093792677e-07,7.800001185387373e-07,1.3800003216601907e-06,3.661999980977271e-05,3.37999954354018e-06,1.784000014595222e-05,1.4680000458611175e-05,1.3839999519404956e-05
11,11,12,5.800000508315862e-07,8.400005754083395e-07,1.4800003555137665e-06,3.924000011465978e-05,3.5799999750452117e-06,2.1340000603231602e-05,2.035999968938995e-05,1.6739999773562884e-05
