,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
0,1,8.200000593205914e-07,1.8079999426845462e-05,1.5600000187987463e-05,8.999999772640877e-06,1.2600004993146285e-06,1.720000000204891e-06,1.1399988579796627e-06,4.099999932805076e-06
1,2,6.000005669193342e-07,1.6280000272672625e-05,1.692000041657593e-05,1.1139999696752056e-05,1.6400004824390636e-06,2.6799993065651505e-06,3.279999873484485e-06,4.539999645203352e-06
2,3,5.999998393235729e-07,1.6940000205067917e-05,1.5060000077937729e-05,1.3920000128564425e-05,2.319999475730583e-06,3.7400001019705088e-06,4.680000347434543e-06,5.180000152904541e-06
3,4,5.799996870337054e-07,1.7820000357460232e-05,1.537999960419256e-05,1.725999973132275e-05,2.059999678749591e-06,4.920000355923548e-06,5.000000601285137e-06,5.819999205414206e-06
4,5,6.599995685974136e-07,1.650000012887176e-05,1.6000000323401763e-05,2.2700000408804043e-05,2.3399999918183314e-06,6.779999603168108e-06,8.060000254772604e-06,7.420000110869296e-06
5,6,6.599999323952943e-07,1.65599998581456e-05,1.6959999629762024e-05,2.2479999825009144e-05,2.3799995688023047e-06,8.139999772538431e-06,7.419999747071415e-06,7.959999857121148e-06
6,7,5.799996870337054e-07,1.5999999959603883e-05,1.5159999747993425e-05,2.466000005370006e-05,2.580000364105217e-06,9.199999476550147e-06,9.420000060345046e-06,8.879999586497434e-06
7,8,6.999998731771484e-07,1.7080000179703348e-05,1.5619999612681567e-05,2.9459999859682283e-05,2.9200000426499173e-06,1.0900000052060933e-05,1.0199999451288022e-05,1.0259999908157624e-05
8,9,7.600003300467506e-07,1.6760000289650633e-05,1.568000043334905e-05,3.134000035061035e-05,2.8800001018680633e-06,1.4940000255592167e-05,1.1120000635855831e-05,1.0499999552848749e-05
9,10,5.800000508315862e-07,1.781999999366235e-05,1.5560000247205607e-05,3.418000087549444e-05,3.2399995689047502e-06,1.689999990048818e-05,1.3679999392479658e-05,1.2659999629249797e-05
10,11,6.999995093792677e-07,1.699999993434176e-05,1.5699999858043155e-05,3.661999980977271e-05,3.3799995435401796e-06,1.784000014595222e-05,1.4680000458611175e-05,1.3839999519404956e-05
11,12,5.800000508315862e-07,1.6119999781949445e-05,1.593999986653216e-05,3.924000011465978e-05,3.5799999750452117e-06,2.1340000603231602e-05,2.035999968938995e-05,1.6739999773562884e-05
12,13,6.000002031214535e-07,1.6279999545076863e-05,1.6039999900385736e-05,4.178000017418526e-05,3.7199995858827604e-06,2.7520000003278255e-05,1.7499999739811755e-05,1.8219999765278773e-05
13,14,5.999994755256921e-07,1.6320000213454477e-05,1.5720000010333025e-05,4.5060000411467625e-05,3.899999865097925e-06,2.637999969010707e-05,1.7759999900590627e-05,2.0859999858657828e-05
14,15,5.800000508315862e-07,1.7219999790540896e-05,1.568000006955117e-05,4.799999951501377e-05,4.3799998820759354e-06,3.32600004185224e-05,1.9800000882241874e-05,2.4480000138282777e-05
15,16,6.60000296193175e-07,1.7139999908977187e-05,1.579999916430097e-05,5.164000031072646e-05,4.3000003643101085e-06,3.5700000080396424e-05,2.1040000137872995e-05,2.473999993526377e-05
16,17,6.400001439033076e-07,1.7120000484283084e-05,1.5980000534909776e-05,5.39999997272389e-05,4.520000220509246e-06,3.9980000656214544e-05,2.306000023963861e-05,2.9939999876660295e-05
17,18,5.800000508315862e-07,1.6619999587419444e-05,1.6039999172789977e-05,5.756000064138789e-05,4.680000347434543e-06,4.5200000386103056e-05,2.277999956277199e-05,2.8000000020256267e-05
18,19,6.399997801054269e-07,1.6619999951217323e-05,1.5780000103404747e-05,5.995999999868218e-05,5.000000237487257e-06,5.166000009921845e-05,2.542000038374681e-05,3.352000021550339e-05
19,20,6.599999323952943e-07,1.731999982439447e-05,1.6039999536587857e-05,6.326000002445653e-05,5.140000575920567e-06,5.781999971077312e-05,2.6359999901615082e-05,3.277999931015074e-05
20,21,6.400005077011883e-07,1.6719999985070898e-05,1.623999996809289e-05,6.649999959336128e-05,5.399999281507917e-06,5.869999986316543e-05,3.0399999741348437e-05,3.666000011435244e-05
21,22,5.600002623395995e-07,1.6819999655126593e-05,1.6420000247308052e-05,6.908000032126437e-05,5.540000347536988e-06,7.050000021990854e-05,3.302000004623551e-05,3.9059999835444614e-05
22,23,5.40000110049732e-07,1.533999966341071e-05,1.5260000145644882e-05,7.153999977163039e-05,5.779999264632352e-06,7.09400002961047e-05,3.040000010514632e-05,4.591999968397431e-05
23,24,6.200003554113209e-07,1.774000011209864e-05,1.6420000247308052e-05,7.653999964531976e-05,6.019999636919237e-06,8.420000012847595e-05,3.1379999927594324e-05,5.323999976099003e-05
24,25,5.999998393235729e-07,1.8739999723038638e-05,1.5940000230330044e-05,7.859999968786723e-05,6.060000305296853e-06,8.891999896150082e-05,3.509999987727497e-05,4.4239999624551274e-05
25,26,6.399997801054269e-07,1.6840000171214342e-05,1.672000034886878e-05,8.25399998575449e-05,5.5799995607230816e-06,8.76999994943617e-05,3.4360000063315967e-05,5.9799999507959e-05
26,27,5.40000110049732e-07,1.6919999688980168e-05,1.7099999240599573e-05,8.459999953629449e-05,6.540000322274864e-06,0.00010372000069764908,3.695999948831741e-05,5.920000003243331e-05
27,28,6.60000296193175e-07,1.788000008673407e-05,1.6840000171214342e-05,8.855999985826201e-05,6.759999814676121e-06,0.00011509999967529438,3.707999931066297e-05,6.063999971956946e-05
28,29,5.800000508315862e-07,1.8540000382927246e-05,1.644000003580004e-05,8.447999971394893e-05,6.3400002545677125e-06,0.00010792000030050986,3.6439999894355425e-05,6.781999945815187e-05
29,30,5.599998985417187e-07,1.5740000526420773e-05,1.5079999866429716e-05,9.32999999349704e-05,7.4799998401431365e-06,0.00012632000034500378,4.226000019116327e-05,7.633999994141049e-05
