,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
0,1,3.5999983083456755e-07,1.6060000052675605e-05,9.819999831961468e-06,7.340000229305587e-06,6.200003554113209e-07,8.799997885944322e-07,4.800000169780105e-07,2.2000000171829016e-06
1,2,2.2000021999701857e-07,1.064000025507994e-05,9.199999840348028e-06,8.200000229408033e-06,9.20000093174167e-07,1.5400000847876072e-06,7.599999662488699e-07,1.8399998225504532e-06
2,3,2.4000000848900526e-07,1.0660000043571927e-05,9.359999967273325e-06,9.580000187270343e-06,1.759999940986745e-06,2.639999729581177e-06,1.3600001693703234e-06,1.8599999748403207e-06
3,4,2.5999979698099195e-07,1.2480000077630393e-05,9.259999933419749e-06,1.1639999866019934e-05,1.4199998986441641e-06,2.1799998648930343e-06,2.060000042547472e-06,1.840000186348334e-06
4,5,3.1999989005271343e-07,1.0939999992842785e-05,9.180000051856042e-06,1.4699999883305282e-05,1.5000001440057532e-06,2.5800000003073364e-06,2.9999999242136253e-06,1.8399998225504532e-06
5,6,2.4000000848900526e-07,1.0519999705138616e-05,9.200000204145908e-06,1.8120000095223077e-05,1.6799996956251561e-06,2.9599999834317713e-06,4.300000000512227e-06,1.7800000932766125e-06
6,7,2.1999985619913786e-07,1.0259999908157624e-05,9.259999933419749e-06,1.9080000129179098e-05,1.8999999156221747e-06,3.640000068116933e-06,5.860000237589702e-06,4.220000118948519e-06
7,8,2.4000000848900526e-07,1.0379999730503187e-05,9.299999874201603e-06,2.113999980792869e-05,2.060000042547472e-06,3.9000002288958054e-06,7.019999975454993e-06,6.099999882280826e-06
8,9,2.2000021999701857e-07,1.0720000136643649e-05,9.299999874201603e-06,2.4219999977503905e-05,2.260000110254623e-06,3.899999865097925e-06,8.400000297115184e-06,7.899999764049425e-06
9,10,2.4000000848900526e-07,1.0460000339662656e-05,9.239999781129881e-06,2.685999970708508e-05,2.4400000256719067e-06,4.70000013592653e-06,1.0180000026593916e-05,1.0240000119665637e-05
10,11,2.1999985619913786e-07,1.1180000001331791e-05,9.53999988269061e-06,2.8839999868068843e-05,3.0000002880115064e-06,5.820000296807848e-06,1.187999987450894e-05,1.277999981539324e-05
11,12,2.4000000848900526e-07,1.0619999738992191e-05,9.359999967273325e-06,3.1260000105248766e-05,2.8800001018680633e-06,6.140000186860561e-06,1.3760000001639128e-05,1.5239999993355013e-05
12,13,2.4000000848900526e-07,1.0620000102790072e-05,9.580000187270343e-06,3.395999992790166e-05,3.060000017285347e-06,7.360000017797574e-06,1.666000025579706e-05,1.7459999799029902e-05
13,14,2.4000000848900526e-07,1.078000022971537e-05,9.359999967273325e-06,3.696000021591317e-05,3.199999991920777e-06,8.800000068731606e-06,1.774000011209864e-05,2.0360000053187833e-05
14,15,2.4000000848900526e-07,1.0960000145132653e-05,9.660000068834052e-06,3.859999997075647e-05,3.400000059627928e-06,9.87999992503319e-06,2.0320000112405977e-05,2.3100000180420466e-05
15,16,2.4000000848900526e-07,1.097999993362464e-05,9.580000187270343e-06,4.1319999945699236e-05,3.6199999158270657e-06,9.660000068834052e-06,2.4760000087553635e-05,2.5939999977708796e-05
16,17,2.4000000848900526e-07,1.1219999942113646e-05,9.759999738889746e-06,4.450000014912803e-05,3.7999998312443495e-06,1.179999999294523e-05,2.4200000189011918e-05,2.8620000011869707e-05
17,18,2.1999985619913786e-07,1.0860000111279078e-05,9.620000128052197e-06,4.7579999954905364e-05,4.059999992023222e-06,1.2340000102994963e-05,2.652000002854038e-05,3.1320000198320484e-05
18,19,2.1999985619913786e-07,1.1079999967478216e-05,9.739999950397759e-06,5.049999999755528e-05,4.199999966658652e-06,1.2119999882997946e-05,2.893999990192242e-05,3.4139999843318944e-05
